filename,pixel size(mm),head circumference (mm)
000_HC.png,0.069135804,44.3
001_HC.png,0.08965852,56.81
002_HC.png,0.062032563,68.75
003_HC.png,0.091291168,69
004_HC.png,0.06123984,59.81
005_HC.png,0.115813953,69.8
006_HC.png,0.065605648,67.84
007_HC.png,0.109361851,62.8
008_HC.png,0.077655086,62.1
009_HC.png,0.121525359,62.31
010_2HC.png,0.079927246,72.87
010_HC.png,0.079935165,71.91
011_HC.png,0.055484126,69.9
012_HC.png,0.08346045,59.4
013_HC.png,0.061918328,65.7
014_2HC.png,0.078981854,62.92
014_3HC.png,0.077307692,60.26
014_HC.png,0.078906249,63.34
015_HC.png,0.060415577,69.3
016_HC.png,0.06030584,65.05
017_2HC.png,0.09102273,79.61
017_HC.png,0.091070197,79.32
018_HC.png,0.065965527,71.59
019_2HC.png,0.117779842,75.75
019_HC.png,0.118045111,75.38
020_HC.png,0.054483699,68.41
021_HC.png,0.061125843,69.49
022_2HC.png,0.094347562,64.45
022_HC.png,0.049414942,65.8
023_2HC.png,0.119170163,67.9
023_HC.png,0.10358631,70
024_HC.png,0.105222799,73.2
025_HC.png,0.074477614,70.51
026_2HC.png,0.113034093,67.3
026_HC.png,0.113272728,75.2
027_HC.png,0.089299242,65.75
028_HC.png,0.094285714,70
029_HC.png,0.061848164,66.3
030_HC.png,0.054228941,64.3
031_HC.png,0.072939646,67.1
032_2HC.png,0.098355471,62.48
032_HC.png,0.098084468,65.37
033_2HC.png,0.097050511,78.84
033_HC.png,0.09716505,75.9
034_HC.png,0.090818183,73.07
035_HC.png,0.087755845,72.09
036_HC.png,0.085636069,73.96
037_HC.png,0.092240975,78.5
038_HC.png,0.060673679,71.9
039_HC.png,0.065501081,72.8
040_HC.png,0.079468602,68.7
041_HC.png,0.085455513,79.8
042_HC.png,0.054039936,69.84
043_HC.png,0.061754849,69.94
044_HC.png,0.113636364,69.49
045_HC.png,0.05507143,72.99
046_HC.png,0.074893387,70.13
047_HC.png,0.089452384,75.23
048_HC.png,0.072728162,73.8
049_HC.png,0.110113426,69.7
050_2HC.png,0.059183492,67.19
050_HC.png,0.059113257,67.5
